id,name
60,ABHYUDAYA COOPERATIVE BANK LIMITED
1,STATE BANK OF INDIA
143,ABU DHABI COMMERCIAL BANK
110,THE ROYAL BANK OF SCOTLAND N V
61,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK
100,AKOLA JANATA COMMERCIAL COOPERATIVE BANK
11,ALLAHABAD BANK
15,ANDHRA BANK
28,STATE BANK OF PATIALA
25,DENA BANK
6,BANK OF INDIA
103,AHMEDABAD MERCANTILE COOPERATIVE BANK
7,CENTRAL BANK OF INDIA
3,CANARA BANK
29,FEDERAL BANK
38,THE ANDHRA PRADESH STATE COOPERATIVE BANK LIMITED
160,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
126,THE HASTI COOP BANK LTD
74,APNA SAHAKARI BANK LIMITED
46,ANDHRA PRAGATHI GRAMEENA BANK
4,BANK OF BARODA
16,IDBI BANK
8,ICICI BANK LIMITED
81,ALMORA URBAN COOPERATIVE BANK LIMITED
94,THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED
18,INDIAN BANK
84,BASSEIN CATHOLIC COOPERATIVE BANK LIMITED
19,ORIENTAL BANK OF COMMERCE
39,PRAGATHI KRISHNA GRAMIN BANK
2,PUNJAB NATIONAL BANK
24,STATE BANK OF HYDERABAD
42,BANDHAN BANK LIMITED
140,BARCLAYS BANK
138,BANK OF BAHARAIN AND KUWAIT BSC
68,BHARAT COOPERATIVE BANK MUMBAI LIMITED
145,BANK OF CEYLON
67,BHARATIYA MAHILA BANK LIMITED
31,STATE BANK OF MYSORE
132,B N P PARIBAS
137,BANK OF AMERICA
135,BANK OF TOKYO MITSUBISHI LIMITED
14,UCO BANK
87,CITI BANK
93,CITIZEN CREDIT COOPERATIVE BANK LIMITED
158,JP MORGAN BANK
44,CITY UNION BANK LIMITED
92,CAPITAL LOCAL AREA BANK LIMITED
20,CORPORATION BANK
50,CATHOLIC SYRIAN BANK LIMITED
82,THE DELHI STATE COOPERATIVE BANK LIMITED
54,DHANALAKSHMI BANK
21,UNITED BANK OF INDIA
58,THE COSMOS CO OPERATIVE BANK LIMITED
97,SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE
149,CREDIT SUISEE AG
136,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK CAL
153,COMMONWEALTH BANK OF AUSTRALIA
142,CHINATRUST COMMERCIAL BANK LIMITED
130,DEVELOPMENT BANK OF SINGAPORE
57,DCB BANK LIMITED
115,DEUSTCHE BANK
148,DEPOSIT INSURANCE AND CREDIT GUARANTEE CORPORATIO
85,DOMBIVLI NAGARI SAHAKARI BANK LIMITED
168,DOHA BANK QSC
146,DOHA BANK
157,EXPORT IMPORT BANK OF INDIA
13,AXIS BANK
17,YES BANK
147,FIRSTRAND BANK LIMITED
116,THE GREATER BOMBAY COOPERATIVE BANK LIMITED
159,THE GADCHIROLI DISTRICT CENTRAL COOPERATIVE BANK 
69,THE GUJARAT STATE COOPERATIVE BANK LIMITED
5,HDFC BANK
78,HSBC BANK
151,WOORI BANK
162,BANK INTERNASIONAL INDONESIA
150,INDUSTRIAL BANK OF KOREA
163,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED
12,INDIAN OVERSEAS BANK
34,JAMMU AND KASHMIR BANK LIMITED
104,IDFC BANK LIMITED
33,INDUSIND BANK
55,THE KANGRA CENTRAL COOPERATIVE BANK LIMITED
105,JANASEVA SAHAKARI BANK LIMITED
127,JANASEVA SAHAKARI BANK BORIVLI LIMITED
98,JALGAON JANATA SAHAKARI BANK LIMITED
99,THE JALGAON PEOPELS COOPERATIVE BANK LIMITED
