ifsc|bank_id|branch|address|city|district|state
ABHY0065001|60|RTGS-HO|ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024|MUMBAI|GREATER MUMBAI|MAHARASHTRA
SBIN0004722|1|CHEGUNTA|CHEGUNTA|CHEGUNTA|MEDAK|ANDHRA PRADESH
ADCB0000002|143|BANGALORE|CITI CENTRE, 28, CHURCH STREET, OFF M. G. ROAD BANGALORE 560001|BANGALORE|BANGALORE URBAN|KARNATAKA
ABNA0000001|110|RTGS-HO|414 EMPIRE COMPLEX, SENAPATI BAPAT MARG LOWER PAREL WEST MUMBAI 400013|MUMBAI|GREATER BOMBAY|MAHARASHTRA
ADCC0000001|61|RTGS-HO|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., P.B.NO. 8, CIVIL LINES, S.A. COLLEGE ROAD, AKOLA. 444001|AKOLA|AKOLA|MAHARASHTRA
AKJB0000009|100|TAPADIA NAGAR|TATYASAHEB OKE MARG, JATHARPETH CHOWK, AKOLA PIN 444 005|AKOLA|AKOLA|MAHARASHTRA
ALLA0210636|11|SILAO|VILL. & P.O. SILAO, DIST- NALANDA -803117|SILAO|NALANDA|BIHAR
ANDB0000995|15|BIRMAL|AT/PO BIRMAL, VIA BARPALI, DIST BARGARH|BIRMAL|BARGARH|ODISHA
STBP0000675|28|RAYYA|VPO RAYYA|RAYYA|AMRITSAR|PUNJAB
BKDN0110187|25|SARANGPUR|OPP- S T BUS STAND,THE-DHANDHUKA|AHMEDABAD|AHMEDABAD|GUJARAT
BKID0006533|6|COLLEGE ROAD|COLLEGE ROADV&PO DAKHA|LUDHIANA|LUDHIANA|PUNJAB
AMCB0660002|103|RELIEF ROAD|MUMTAJ MAHAL, ZAKARIYA MASZID, RELIEF ROAD, AHMEDABAD-380 001|AHMEDABAD|AHMEDABAD|GUJARAT
CBIN0280173|7|BARA BAZAR|DIXIT COMPLEX, JHANSI|JHANSI|JHANSI|UTTAR PRADESH
CNRB0005602|3|NANAU|CANARA BANK,NANAU,ALIGARH DT|ALIGARH|ALIGARH|UTTAR PRADESH
FDRL0001292|29|KOMBANAD|KOMBANAD KOMBANAD KOMBANAD|KOMBANAD|ERNAKULAM|KERALA
APBL0004032|38|PRATHIPADU|D.NO.6-161, TUNI ROAD, PRATHIPADU|PRATHIPADU|KAKINADA|ANDHRA PRADESH
ANZB0000001|160|RTGS-HO|CNERGY, 6TH FLOOR, APPASAHEB MARATHE MARG, PRABHADEVI, MUMBAI - 400 025, INDIA|MUMBAI|MUMBAI|MAHARASHTRA
HCBL0000113|126|NAVAPUR|Limdiwadi, Navapur pin|NAVAPUR|NANDURBAR|MH
ASBL0000025|74|MIRAJ|BHRAMANPURI, PATWARDHAN HALL, MIRAJ, DIST.-SANGLI 416313|MIRAJ|SANGLI|MAHARASHTRA
APGB0001024|46|PERUR|PERUR-515621 RAMAGIRI MANDAL ANANTAPUR DISTRICT|PERUR|ANANTAPUR|ANDHRA PRADESH
BARB0ANWARG|4|ANWARGANJ  KANPUR|84/67 ANWAR GANJ UTTAR PRADESH 208003|KANPUR|KANPUR NAGAR|UTTAR PRADESH
IBKL0001541|16|AZADPUR|PLOT NO 6,NEW SUBZI MANDI,AZADPUR,DELHI 110 033|DELHI|DELHI|DELHI
ICIC0006087|8|MANNARGUDI|THIRUVARUR DIST|MANNARGUDI|THIRUVARUR|TAMIL NADU
AUCB0000016|81|NA|POST OFFICE ROAD, KASHIPUR|KASHIPUR|UDHAM SINGH NAGAR|UTTARAKHAND
APMC0000002|94|BEGUM BAZAR|15-7-241/1, YADAV TOWERS BEGUM BAZAR HYD 500012|HYDERABAD|HYDERABAD|ANDHRA PRADESH
IDIB000J009|18|JODHPUR|4TH CHOPASNI ROAD JODHPUR 342001|JODHPUR|JODHPUR|RAJASTHAN
